-90,0
-48, 13.744850078089257
-46, 21.190555173247958
-43.99999999999999, 46.703432668366986
-42, 113.83574089249669
-40, 202.50191857170012
-38, 252.73854533413396
-35.99999999999999, 309.1016479350401
-34, 316.57892268868545
-32, 321.44267449983727
-30, 324.6739605781868
-28, 328.48859305201586
-26, 356.1238962605248
-24, 376.02250108818225
-22, 383.8232915372382
-20, 435.45296949799103
-18, 492.3276347757437
-16, 607.900023490357
-14, 811.1602888860343
-12, 1177.9282012821322
-10, 1673.208347283723
-8, 2586.809563710959
-5.999999999999986, 3813.7493052421587
-3.999999999999986, 4784.827058231031
-2, 5358.6786464400675
0, 5511.854821295506
2, 5290.997409039132
4, 4717.148066198618
6, 3655.213269746587
8, 2521.446626363658
10, 1607.5166809262646
12.000000000000014, 1073.4693929123414
14.000000000000014, 749.8510125908833
16, 593.1028721177263
18, 479.2568806574682
20, 418.2086028327176
22, 387.25693506556036
24, 362.90777054184946
26, 356.067458129457
28, 328.7361688644487
30.000000000000014, 333.80955017626275
32.000000000000014, 322.30297600569156
34.000000000000014, 315.9358535192414
36, 294.42845174873946
38, 254.3463258687034
40, 177.66000737964532
42, 102.65098516019225
44, 47.18335353020029
46, 20.214626335272442
48, 14.473025537321519
50, 13.690813823638564
52, 13.690935324696511
90,0
